Row#,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,output
68,12.5,0.25,0.25,0.25,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.421448998,0.403128905,31.39456852,4952.01304
514,25,0.5,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.586602539,0.490020262,40.28237595,7532.82953
547,12.5,0.25,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.483671436,0.411590845,34.78105469,5715.0084
535,25,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.429000524,0.398863863,31.11988062,4575.76991
223,12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.54613583,0.475965002,39.09688443,6801.32393
577,25,0.5,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.426173511,0.424902006,33.60534043,4920.13663
220,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.596753394,0.490981116,41.55016374,7576.39253
416,12.5,0.25,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.596551315,0.497978979,41.54582317,7570.48492
589,25,0.5,0.25,0.63,0.75,86,52,71.9,62,30,50.8,16,0.26,0.584364445,0.485099788,40.63849594,7303.58812
383,12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.538603555,0.461179325,37.55556802,6251.61184
692,25,0.5,0.38,0.38,0.75,86,52,71.9,62,30,50.8,34,0.56,0.381314223,0.402105764,30.05252128,3923.90628
466,25,0.5,0.25,0.38,0.5,86,52,71.9,62,30,50.8,34,0.56,0.481328623,0.442193092,35.64822051,5524.14541
315,12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.496598201,0.447536765,35.8744954,5711.85174
678,25,0.5,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.384633032,0.403476889,30.59699446,3837.51296
149,12.5,0.25,0.25,0.38,0.25,94.6,57.2,79,68.2,33,55.9,16,0.26,0.492809568,0.446518367,35.18597077,5428.10602
25,25,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.320417393,0.366977261,27.3454535,3049.26032
123,12.5,0.25,0.25,0.25,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.408178454,0.399172403,30.59699446,4310.6254
591,25,0.5,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.384610827,0.39604355,30.057704,4057.55521
265,12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.509001253,0.430368732,36.31114278,6708.24129
727,12.5,0.25,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.606612254,0.497978979,42.50852244,7617.39589
96,12.5,0.25,0.25,0.25,0.38,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.49739138,0.44549439,35.6972028,5932.23909
